
Chapter-1-page-1.html
python              : n. 丹舌,大蟒,巨蟒
space               : n. 位置, 空间, 距离, 太空, 空地, 持续的一段时间 vt. &vi. 均匀隔开, 分隔
missing             : adj. 缺掉的,失踪的
continue            : vt. &vi. 继续, 连续, 维持
indexing            : n. 指数(分度, 索引, 转位, 转换角度, 换档, 改址)
produce             : n. 产品, 农作物 vt. 生产, 提出, 引起, 分娩, 制片 vi. 生产, 制造
straightforward     : adj. 笔直的, 率直的
English             : n.英语 adj.英格兰的； 英国的； 英语的； 英格兰人的
browser             : n. 吃嫩叶的动物, 浏览书本的人
valid               : adj. 有确实根据的; 有效的; 正当的, 合法的
critical            : adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
lookup              : n. 检查
appear              : vi. 出现,显得,出版,抵达

Chapter-3-page-3.html
proxy               : n. 代理,代理人,取代物 adj. 代理的
sense               : n. 侦测, 感官, 感觉; 理智; 意义 vt. 感觉, 了解; 检测
assignment          : n. 分配,功课,任务,被指定的(课外)作业;(分派的)任务, 委派
comparison          : n. 比较
ignore              : vt. 不顾,不理,忽视
corresponding       : adj. 符合的, 一致的, 相同的, 相应的, 相当的
according           : adv.依照
associated          : adj. 联合的,相关的
neutrality          : n. 中立
present             : n. 礼物, 现在 adj. 当面的, 出席的, 现在的 v. 赠送, 提出, 呈现
virtual             : adj. 虚拟的；有效的；实质上的，事实上的
scalar              : 标量(的)
logged              : adj. 记录的, 进水的, 锯成圆木的，沉重的 动词log的过去式及过去分词形式
spider              : n. 蜘蛛
manner              : n. 样子,礼貌,风格,方式
utility             : n. 公共设施,效用,公用程序,实用品,实用 adj. 多效用的，多功能的
conversion          : n. 转变, 改变信仰, 换位
easier              : a.更容易的,更舒松的
effect              : n. 结果, 影响, 效果; 要旨 vt. 招致, 引起; 实现, 达到
everything          : pron. 每件事, 一切

Chapter-3-page-4.html
nothing             : adv. 毫不 n. 微不足道的人或事 pron. 什么也没有
practice            : n. 练习, 实行, 习惯; 业务 vt. &vi 练习, 实习, 开业
positional          : adj. 位置的, 地位的, 阵地的
learning            : n. 学问, 学识, 学习 动词learn的现在分词
daemon              : 守护进程 如Internet中用于邮件收发的后台程序
supply              : n. 补给,供给,供应，贮备 vt. 补给,供给,提供,提供足够以满足
platform            : n. 平台,月台,讲台,坛,计划
visitor             : n. 参观者, 访问者，访客
searching           : adj. 探寻的，洞察的 动词search的现在分词
unpack              : vt. 打开取出, 卸下
finder              : n. 发现者, 探测器
login               : 登录, 注册
serve               : v. 可作...用, 服务, 对待, 发球 n. 发球
loaded              : adj. 有负载的(装着货的, 装有弹药的, 加重的) v. 装载
children            : n. 孩子们(child的复数形式)
inherited           : adj.通过继承得到的,遗传的 继承权的
course              : n. 课程, 讲座, 过程, 路线, 一道(菜)
analytics           : n. 分析学，解析学，分析论
printing            : n. 印刷, 印刷术 动词print的现在分词
worker              : n. 工人，工作者

Chapter-3-page-5.html
middleware          : n.[计]中间设备,中间件
tricky              : adj. 狡猾的,欺骗的,棘手的
performing          : adj.表演的,履行的
developer           : n. 开发者，显影剂
coding              : n. 编码，识别 动词code的现在分词形式
entirely            : adv. 完全地
patch               : n. 片,补丁,碎片 vt. 补缀,掩饰,平息
master              : n. 主人, 硕士, 母机 adj. 主人的, 主要的 v. 征服, 控制, 精通
think               : vt.想； 思索； 以为； 看待 vi.思辩； 考虑； 构想； 回忆 adj.深思的； 供思考的 n.想； 想法
receive             : vt. 收到,接受,迎接,容纳,遭受,相信 vi. 接到,获得
correct             : adj. 正确的 v. 改正,纠正 vt. 改正
preceding           : adj. 在前的,在先的
extend              : v. 扩充, 延伸, 伸展, 扩展
complete            : adj. 彻底的, 完整的, 已完成的 vt. 完成; 使圆满, 使完美
immediately         : adv. 立即,直接地 conj. 一...(就)
reduce              : vt.换算； 约束； 使变为； 使变弱 vi.减少； 减轻体重； [生物学]（细胞）减数分裂； （液体）浓缩变稠
analysis            : n. 分析, 解析
ensure              : vt. 确定,保证,担保
larger              : adj.大的,多量的
inner               : adj. 内部的,里面的,内心的 n. 里面,内部

Chapter-3-page-6.html
major               : n. 主修, 成年人, 陆军少校; 巨头 adj. 主要的, 较多的, 大部份的 vi. 主修
slightly            : adv. 些微地, 苗条地
properly            : adv. 适当地, 相当地, 当然地
efficient           : adj. 效率高的,有能力的
exercise            : n. 练习,作业,运动 vt. 运用 vi. 锻炼
product             : n. 产品,成果,乘积
usual               : adj. 通常的
width               : n. 宽度,广度,某一宽度的材料
prototype           : n. 原型,雏形
compare             : vt.&vi. 比较,比喻,对照 n. 比较，对照
clean               : adj. 干净的, 正当的, 纯洁的, 完全的, 精准的, 空的 adv. 完全地 n. 清洁 vt. &vi. 打扫,清扫
compatible          : adj. 能共处的,可并立的,适合的, 兼容的 n. 兼容
timing              : n. 时间的掌握(安排, 配合)
included            : adj. 包括的，内藏的 动词include的过去式和过去分词
unsigned            : adj. 未签署的，无符号的
logic               : n. 逻辑(学),逻辑性,合理的推理
factory             : n. 工厂, 制造场所
represent           : vt. 表现, 表示, 描绘, 代表 vi. 提出异议
profile             : n.侧面，半面； 外形，轮廓； [航]翼型； 人物简介 vt.描…的轮廓； 给…画侧面图； 为（某人）写传略； [机]铣出…的轮廓
license             : n. 批准,许可证,特许 vt. 允许,特许

Chapter-3-page-7.html
spicy               : adj. 芳香的(辛辣的)
manage              : vt. 管理,处理,维持,达成,经营 vi. 管理,达成
expect              : vt.期望； 预料； 要求； 认为（某事）会发生 vi.预期； 期待； 怀胎； 怀孕
layer               : n.层，层次； 膜； [植]压条； 放置者，计划者 vt.把…分层堆放； 借助压条法； 生根繁殖； 将（头发）剪成不同层次 vi.形成或分成层次； [植]通过压条法而生根
metadata            : n. [计]元数据
refer               : vt. 把…提交; 把...归因, 归类为 vi. 谈及, 咨询, 参考
noted               : adj. 著名的，有声望的 动词note的过去式和过去分词形式
upper               : adj. 上部的,地位较高的,上面的,北方的 n. 鞋帮,上牙,兴奋剂,令人愉快的经历
depth               : n. 深度,强度,诚挚
engine              : n. 发动机, 引擎, 机车, 火车头 vt. 装引擎
priority            : n. 优先权, 优先顺序, 优先
mutable             : adj. 不定的, 可变化的
radius              : n. 半径,桡骨,半径范围,辐射区
business            : n. 商业,生意,事务
variety             : n. 多样, 种类, 杂耍
internally          : adv.在内,在中心
speed               : n. 速度,迅速,感光度,超速 vt. 加速,催促,促进 vi. 超速,加速,进展
minus               : adj. 负的,减的 n. 减号,负数,缺点 prep. 减去
specification       : n. 规格,详述,详细说明书
corpus              : n. [计] 语料库；文集；本金

Chapter-3-page-8.html
multiprocessing     : n. 多重处理, 多处理技术
peewee              : n. &lt;美口&gt;矮小的人或东西 adj. 矮小的
completely          : adv. 完全地, 十分地, 全然
primary             : n. 最主要者 adj. 主要的, 初期的, 根本的
outline             : n. 大纲,轮廓,概要,略图,素描 vt. 描画轮廓,描述要点
attach              : v. 附上, 系上, 贴上, 使依恋
download            : v. 下载
twitter             : n. 鸟鸣 v. (鸟)吱吱叫, 嘁嘁喳喳叫 vi. (鸟)吱吱叫
completion          : n. 完成,完满
catch               : n. 捕捉,陷阱,捕获物,接(球等),扣栓物,隐患 vt. 抓住；赶上,了解,感染,被钩住,击中,察觉 vi. 抓住，燃着
discard             : n. 丢牌,废牌 vt. 丢弃,抛弃 vi. 丢牌
Latin               : n. 拉丁民族的人,拉丁文,拉丁语 adj. 拉丁文的,拉丁人的,拉丁语的
sentence            : n. 句子,意见,宣判,刑罚,命题 vt. 宣判,判决,使遭受
branch              : n. 分支,树枝 vt &vi. 分支, 分岔
listed              : adj. 列出的 v. 列出, 记载于表上 vbl. 列出, 记载于表上
onload              : vt.装载
invoke              : vt. 求助,用咒语召唤,请求,应用,引起 [计算机] 调用
difference          : n. 差异,分歧 vt. 引起区别
verbose             : adj. 用字多的,冗长,冗赘的
capsule             : n. 荚膜, 胶囊, 简缩, 太空舱 vt. 装入胶囊, 简缩, 概括 adj. 精简的, 小巧的

Chapter-3-page-9.html
dimensional         : adj.空间的
symbol              : n. 符号, 标志, 象征
observe             : v. 观察, 遵守, 注意到
selector            : n. 挑选者，选择器
awesome             : adj. 令人惊叹的，难得吓人的，很好的
direct              : adj. 笔直的,直接的,坦白的 vt. 指挥，命令，负责 vi. 指导，指出
similarly           : adv. 相似地, 类似地
limit               : n.限制； 限量，限度； 界限 vt.限制，限定
invalid             : adj. 无效的,伤残的 n. 病人,残疾者 vt. 失去健康
operand             : n. [数学]操作数
interesting         : adj. 有趣的
contiguous          : adj. 邻近的,接触的,连续的
potential           : adj.潜在的，有可能的； [语法学]可能语气的，表示可能性的； 有能力的 n.潜力，潜能； [物]电位，势能； 潜能的事物； [语]可能语气
temporary           : adj. 暂时的,临时的 n. 临时工
people              : n. 民族,人,人们,人民,家人 vt. 居住于
color               : n. 颜色,气色,风格 vt. 把...涂颜色,粉饰 vi. 脸红
policy              : n. 政策, 方针, 保险单
iterate             : v. 重做,反复重申 vt. 反复申说
maximum             : n. 极点, 最大量, 极大 adj. 最高的, 最大极限的
correctly           : adv.恰当地,正确地

Chapter-3-page-10.html
assert              : vt. 主张,声明,断言
actor               : n. 男演员
sched               : n.<口>(无线电)固定播送(或收听)时间
amount              : n. 数量, 总额 vi. 总计, 等于
delegate            : n. 代表 vt. 派…为代表；委派 vi. 委派
garbage             : n. 垃圾, 食物残渣, 废物
subject             : n. 科目, 主题; 缘由 n. (君主国)国民; 实验对象 adj. 服从的, 易患的 vt. 使隶属, 使服从; 使遭遇
condition           : n. 情况, 条件 v. 以...为条件, 决定, 支配, 训练
careful             : adj. 小心的, 仔细的
summary             : n. 摘要,概要 adj. 摘要的,简略的
contained           : adj. 抑制的, 平静的 动词contain的过去式和过去分词形式
prompt              : adj. 迅速的, 敏捷的, 立刻的 vt. 激起, 促进, 推动; 提示 vi. 提示 n. 提示; 提示的内容 n. [商]付款期限
somewhat            : adv.稍微； 有点； 达到某种程度 n.少量； 某些数量； 某种程度
extern              : n. 通勤医生，走读生（=externe)
bookmark            : n. 书签
customize           : vt. 定制 [计算机] 用户化
timer               : n. 计时员，记时器, 跑表
operating           :adj. 经营的；业务上的；营业上的
online              : n.联机, 在线
elegant             : adj. 优雅的, 精美的, 俊美的

Chapter-4-page-1.html
chunk               : n. 厚块（片）, 相当大的量，矮胖的人或物 vt. （高尔夫球）没击中 vi. 发出猛冲的声音
jones               : n. 琼斯（姓氏）
schema              : n. 图解，计划，模式，纲要
square              : n. 正方形,街区,平方，广场 adj. 正方形的,正直的,公正的,结实的 vt. 使...成方形,调整，一致 vi. 符合 adv. 成直角,直接的,正方形地
arbitrary           : adj. 任意的, 专制的, 武断的, 霸道的
article             : n. 文章,物品,条款,冠词 vt. 定契约
possibly            : adv. 可能地, 也许
zombie              : n. 僵尸; 无生气的人，麻木迟钝的人
numeric             : adj. 数字的，数值的 n. 数，数字
override            : vt. 弃绝,渺视,凌驾,过度负重 n. 给代理人的佣金,滥用 [计算机] 废除
essentially         : adv. 本质上,本来
prepare             : vt.准备； 预备（饭菜）； 配备； 使（自己）有准备 vt.& vi.筹备，进行各项准备工作； 做好思想准备； 作出，制订； 锻炼（身体等），训
agent               : n. 代理人，代理商；药剂；特工；动力 vt. 由…作中介；由…代理 adj. 代理的
escape              : n. 逃亡,避难设备 vt. &vi. 逃脱,避开 adj. 逃避的
underscore          : vt. 划线于,强调,提供伴奏乐 n. 下划线,影片伴奏乐
explicit            : adj. 明确的,详述的，明晰的,外在的
delay               : n. 耽搁,迟滞 vt. 耽搁,延迟 vi. 耽搁
remainder           : n. 剩余物, 其他的人, 残余 vt. 廉价出售 adj. 剩余的
coded               :adj. 译成密码(或代码)的
instantiate         : v. 例示，举例说明

Chapter-4-page-2.html
container           : n. 容器, 集装箱
leading             : n. 领导, 疏导, 铅板 adj. 领导的, 主要的, 在前的 vbl. 领导, 引领, 以铅接合 [计算机] 行间空白
waiting             : n. 等候 adj. 候补 动词wait的现在分词
terminal            :n. n. 终端机,终点,末端 adj. 终点的,晚期的,致死的
attached            : adj. 附加的, 固定的
remember            : vt. &vi. 记得,记忆
previously          : adv. 以前(预先)
wrong               : adj. 错误的,不正当的,失常的 adv. 错误地 n. 错误,不公正 vt. 伤害,亏待,欺骗,中伤
account             : n.账，账目； 存款； 记述，报告； 理由 vi.解释； 导致； 报账 vt.认为； 把…视作
knowledge           : n. 知识,了解
dispatch            : n. 派遣；急件 vt. 派遣；分派
enumerate           : v. 列举,计算,枚举 [计算机] 枚举
dumps               : n.抑郁
initialization      : n.设定初值,初 files//n.[计]初蓟
worth               : adj.值得的； 有…的价值； 等值的； 有…的财产 n.财富，财产； 价
chain               :n. n. 链,连锁,束缚
fetch               : n. 取得 vt. 取来,带来,航行到达 vi. 取回,兜圈子
inclined            : adj. 倾向于...的
selected            : adj. 选定的 动词select的过去式和过去分词
negative            : adj. 否定的,负的,消极的 n. 底片，负数，否定 vt. 否定

Chapter-4-page-3.html
average             : n. 平均数,平均水平 adj. 一般的,通常的,平均的 vt. &vi. 取平均值，达到平均水平
extremely           : adv. 极其, 非常
concurrent          : adj. 同时发生的
logger              : n. 伐木工, 记录器, 注册器
strip               : vi.剥光； 表演脱衣舞； 剥除 vt.除去，剥去； 剥夺； 删除； 清除，拆除 n.长条，条板； 带状地带（或森林、湖面等）； （足球队员的）运动服
interested          : adj. 感兴趣的
verify              : v. 查证,核实 n.[计算机] DOS命令 : 打开关闭在 DOS操作期间的写文件校验开关
currently           : adv. 现在，现时，目前，当前
moving              : vbl.移动
environ             : vt. 包围, 环绕
certificate         : n. 证(明)书,执照 vt. 批准，认可，发证书给...
mechanism           : n. 机制,原理，机械,机构,结构
reverse             : n. 相反; 背面; 失败, 挫折 adj. 反面的, 相反的, 颠倒的 v. 颠倒, 逆转, 倒退
getter              : n. 获取的人，吸收剂
acquire             : vt. 占有,获得,取得,学到
assign              : v. 分配,指派 n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符
Chicago             : n. 芝加哥
dimension           : n. 尺寸, 次元, 容积, 维度 n. 范围; 方面 vt. 标尺寸; 形成...尺寸
converting          :n. 转换
combine             : n. 集团,联合收割机 v. 化合,结合,联合 vi. 结合,联合 vt. 使结合,使联合

Chapter-4-page-4.html
objectify           : vt. 使具体化，使客观化
mixed               : adj. 混合的, 形形色色的, 弄糊涂的 mix的过去式和过去分词
meaning             : n. 意义,意思,含义 adj. 意味深长的
obtain              : vt. 获得, 得到 vi. 通用, 流行, 存在
cookbook            : n. 烹饪书, 食谱 adj. （食谱）附有步骤的
normalize           : v. 使常态化, 使合标准, 使合规格
aspect              : n. 方面, 外貌, 外观; 方位, 方向
begin               : vt.& vi.开始； 着手； 创始； 创办 vi.（从…）开始； 起始； 起初是； 开始讲话
exist               : v. 存在
alternatively       : adv. 二者择一地, 做为选择
moreover            : adv.再者； 此外； 而且； 同时
absolute            : adj. 绝对的,完全的,无限制的,独立的,专制的 n. 绝对的事物
community           : n. 社区, 团体
subsequent          : adj. 随后的,后来的
happen              : vi. 发生,碰巧,出现,偶然遇到
greater             : adj. 大的, 包括市区及郊区的
crash               : v. 撞碎, 猛使...破碎, 迫降，发出巨响 n. 轰隆声, 猛撞, 崩溃, 破产, 垮台 adj. 速成的 n. 粗布
evaluator           : [计] 求值程序
fragment            : n. 碎片 vt. &vi. 变成碎片 [计算机] 碎片
communication       : n. 沟通,交通

Chapter-4-page-5.html
specifically        : adv. 特定地,明确地
resource            : n. 资源,谋略,消遣
forth               : adv.向前，向前方； 露着的，往外的； [废语]出外，离家 prep.出自，从…离开
launch              : n.&amp;v. 下水,发射,开始,升天,汽艇
athlete             : n. 运动员
cookie              : n. 饼干
focus               : n. 焦点, 焦距 v. 集中, 聚集, 使集中
decorate            : vt. 装饰, 装修, 授予某人奖章或其他奖状
hierarchy           : n. 等级制度，层级[计],统治集团
category            : n. 种类, 类别
caller              : n. 打电话的人，来访者
wrapping            : n. 包装材料 动词wrap的现在分词
detail              : n. 细节,详情,部分,分派 vt. 详述,选派,用小元素装饰 vi. 画细节
frequency           : n.&amp;adj. 频繁,频率
minimum             : adj. 最低的, 最小的 n. 最小量, 最低限度
difficult           : adj. 困难的, (人)难取悦的, 难相处的
modify              : vt. 修改,调正,缓和 vi. 修改
carefully           : adv. 小心地, 仔细地
copyright           : adj. 版权(的) n. 版权,著作权
trailing            : adj. 牵引的 n. 拖尾 动词trail的现在分词形式

Chapter-4-page-6.html
notation            : n. 记号法,表示法,注释 [计算机] 记法
reshape             : vt. 重新塑造, 使成新的形状, 打开新局面
experiment          : n. 实验,试验,尝试 vi. 做实验,尝试
compatibility       : n. 和谐共处, 兼容
convention          : n.会议； 全体与会者； 国际公约； 惯例，习俗，规矩
replacement         : n. 交换,更换,代替者
division            : n. 区分,分开,除法,公司,部门，师（军队里）
widget              : n. (某公司的)典型小产品, 小玩意儿
typing              : n. 打字 动词type的现在分词
dynamic             : adj. 动态的, (有)动力的, (有)力的; 有活力的 n. 动力; 力学
received            : adj. 被一般承认的,公认的
oriented            : adj. 导向的,定向的
authentication      : n.证明,鉴定
precision           : n. 精确,精密度 adj. 以精准的执行而著称的, 经得起极精细测量的
operate             : vi. 操作, 运转 vt. 起作用, 动手术
tweet               : vi. 鸣叫 n. 小鸟叫声, 自录音再现装置发出之高音
triggered           :adj. 触发的
clause              : n. 分句, 从句, 条款, 款项
manipulation        : n. 操作，控制，窜改
sized               : adj.有...大小的

Chapter-4-page-7.html
finding             : n. 发现, 发现物，调查(或研究)的结果，[律] 裁判，裁决 (复数）findings：（珠宝商等使用的）零碎的工具或材料 find的现在分词
latest              : 形容词late的最高级形式 adj. 最近的,最新的 n. 最迟的时间,最新的潮流
relatively          : adv. 比较地, 相对地
deadlock            : n. 僵局, 停顿，(比赛等的)分数不分上下 v. 停顿, 相持不下
translation         : n. 翻译, 译文
scanner             : n. 扫描机, 扫描仪
checked             : adj. 格子花纹的, 棋盘花纹的 动词check的过去式和过去分词
translate           : vt. 翻译；转化；解释；转变为；调动 vi. 翻译
Clark               : n. 克拉克(男子名)，克拉克(新泽西州社区)
consumer            : n. 消费者,用户, 消费品
trace               : n. 痕迹,踪迹,微量 vt. 追踪,找出根源,描绘 vi. 追踪
concurrency         : n. (意见)一致，同时发生，并发，[数]几条线的交点
enable              : vt. 使...能够,使可行 [计算机] 使能
validation          : n. 确认
immutable           : adj. 不可变的,不变的,不能变的
meant               : 动词mean的过去式和过去分词形式
report              : n. 传闻,报告,成绩单,爆炸声 vt. 报告,报导,记录 vi. 叙述,报告
superclass          : 超类
opposed             : adj. 相反的；敌对的 v. 反对（oppose的过去分词）；使对立
stash               : vt.隐藏,储藏 n. 隐藏地点，隐藏物

Chapter-4-page-8.html
capture             : n. 抓取,战利品,捕获之物 vt. 抓取,获得,迷住
forever             : adv. 永远 n. 漫长时间
located             : adj. 处于, 位于
complexity          : n. 复杂，复杂性, 复杂的事物
restrict            : v. 限制,约束
reader              : n. 读者，读物, 读本
functional          : adj. 功能的,有功能的,实用的
merely              : adv. 仅仅,只不过
natural             : adj.自然的； 物质的； 天生的； 不做作的 n.自然的事情； （生来的）白痴； [乐]（风琴等的）白键
alias               : n. 别名,化名 adv. 又被称为，另外地
button              : n. 钮扣,徽章,像纽扣的东西,未成熟的蘑菇,按钮 vt. 用纽扣装饰,钉纽扣,闭嘴 vi. 扣上
android             : n. （故事中的）机器人
merge               : vt. &vi. 合并,消失,吞没, 融合 [计算机] 合并
privacy             : n. 隐私, 隐居, 秘密
folder              : n. 文件夹,折叠者,折叠式印刷品
external            : n. 外部 adj. 外部的,外用的,客观的,表面的
geometry            : n. 几何,几何学
become              : vt. 变得 vi. 存在,变得,经历改变或发展
degree              : n. 学位，程度, 度数
slower              : v.减慢

Chapter-4-page-9.html
midpoint            : n. 中点，正中央
separator           : n. 分隔符，分离器
individual          : adj. 个别的; 独有的 n. 个人, 个体
combined            : adj. 组合的, 结合的
active              : adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子
repeated            : adj. 重复的, 再之的 动词repeat的过去式和过去分词形式
security            : n.安全； 保证，担保； 保护，防护； 有价证券 adj.安全的，保安的，保密的
basics              : n. 基本因素, 基本原理, 概要 名词basic的复数形式
transaction         : n. 交易,处理,办理
comprehension       : n. 理解(力),领悟
story               : n. 故事,叙述 vt. 以历史事件为图案装饰
redirect            : adj. 再直接的 v. 重新传入, 重新寄送
unknown             : adj. 未知的，不出名的
calculation         : n. 计算
linear              : adj. 直线的，线性的，长度的
cross               : n. 十字架,十字架形物件,交叉,交叉路 adj. 生气的,交叉的 vt. 划叉剔除，画横线于 vi. 穿越 prep. 穿过
fraction            : n. 分数, 小部分, 破片
maintain            : vt. 维持; 维修, 保养; 坚持; 断言
likely              : adj. 可能的,合适的,可信的,有前途的,有吸引力的 adv. 很可能
console             : vt. 安慰,慰藉 n. 仪表盘,操控台,(游戏)平台

Chapter-4-page-10.html
choose              : vt. &vi. 选择
versus              : prep. 对；与...相对；对抗
consult             : v. 商讨,向...请教,查阅
someone             : pron. 某人, 有人
force               : n. 力量,武力,暴力,影响力 vt. 施暴,强迫,强夺,加压力 [计算机] 强制
transform           : vt. 转换,变形 vi. 改变 n. 变形
arithmetic          : n. 算术
secure              : adj.安全的； 牢固的； 有把握的； 安心的 vt.保护； （使）获得； 使安全； 担保 vi.获得安全，变得安全； 安全，保险； 承保，担保； [航海学]停止工作
construct           : vt. 构造,绘制,建造,想出 n. 构想,建造物
answer              : vt.& vi.答复； 解答； 答辩； 适应 n.回答； 答案； 反应； 足以媲美的人
alternate           : adj. 交替的, 轮流的, 间隔的 vt. &vi. 交替, 轮流
acquired            : adj. 已取得的, 已获得的, 已成习惯的
guide               : vt.引路； 指导； 操纵； 影响 n.指导者； 向导； 导游； 有指导意义的事物
scheduler           : [计]调度程序,日程安排程序
editor              : n. 编辑, 编者
simplify            : v. 简化, 使单纯 vt. 简化
repository          : n. 贮藏室(博物馆,资源丰富地区),智囊
essential           : adj.基本的； 必要的； 本质的； 精华的 n.必需品； 基本要素； 必不可少的东西
serial              : n. 序列，串列 adj. 连续的，一连串的
validate            : vt. 使...有效,确认

Chapter-5-page-1.html
click               : n. 点击,滴答声,拍答声 vt. 点击,作滴答声,使...作拍答声 vi. 击打,完全符合,成功,以点击的方式选择
track               : n. 小路, 跑道, 轨道, 踪迹; 惯例, 常规 v. 跟踪, 追踪
repeat              : n. 重复,反复 vt. 重复,复述 vi. 重复 adj. 重复的,反复的
downside            : n. 下降趋势（价格方面），消极面, 负面
concern             : vt. 涉及, 影响, 关心 n. 关心, 忧虑, 关心的事; 公司, 企业
power               : n. 力量, 权力，电力 vt. 供电，激励，全速前进 adj. 与力量有关的，与权力有关的，电力控制的
graphics            : n. 制图法,制图学,图表算法 n.[计算机]图形学,DOS命令 : 允许使用Shift-PtrSc键打印屏幕图形
tutorial            : n. 个别指导 adj. 个别指导的
beginning           : n. 开始,开端，起源，早期 adj. 刚开始的 动词begin的现在分词
therefore           : adv. 因此, 所以
locking             : n. 锁定 动词lock的现在分词形式
enforce             : vt. 加强, 强迫, 执行
progress            : n. 进步, 发展, 前进 vi. 促进，进步, 进行
pillow              : n. 枕头 vt. 枕,搁,垫
press               : vt.压，按； 逼迫； 紧抱 vi.压； 逼迫； 重压 n.强迫征兵； 新闻报道，出版物； 压榨； 印刷机（厂）
involve             : vt. 包含, 使陷入, 使忙于, 使卷入, 牵涉
importer            : n. 进口商，输入者
transpose           : v. 调换,颠倒顺序,移项
flexible            : adj. 灵活的,易弯曲的,柔韧的,可变通的
involved            : v. 涉及(包含,遍及,占用,促成,自乘) adj. 所包含的(形式复杂的)

Chapter-5-page-2.html
remaining           : adj. 剩余的
determine           : vt.& vi.（使）下决心，（使）做出决定 vt.决定，确定； 判定，判决； 使决定； 限定 vi.[主用于法律]了结，终止，结束
desktop             : n. 桌面，台式电脑 adj. 台式的，桌上用的
stuff               : n. 材料, 原料, 东西 n. 素质, 本质; 废物 vt. 填满, 塞满
explore             : vt. &vi. 探险,探测,探究
weight              : n. 重量,体重,重担 vt. 使...负重, 使倾斜
modification        : n. 修正, 修饰, 修改
manipulate          : v. 操纵,利用,假造 [计算机] 操作
whole               : adj. 整个的, 完全的, 未受损的, (人)全面发展的 n. 全部, 通常情况 adv. 完全地, 统一地
considered          : adj.考虑过的,被尊重的
suite               : n. 随员, 套房, 一组
relevance           : n. 中肯, 适当, 关联, 相关性
markup              : n. 涨价，利润，成本加价，毛利 n. （美）议案的审订
strategy            : n. 战略, 策略
evaluate            : vt. 评估,评价
reset               : n. 重新设定, 重新组合 v. 重新设定, 重新放置, 重新组合
occur               : vi.发生； 出现； 闪现
country             : adj. 国家的, 农村的 n. 国家，乡村，区域
review              : n. 检讨, 复习, 回顾, 评审 vt. 温习, 检讨, 评论, 检阅 vi. 写评论
letter              : n.信； 证书，许可证； 字母，文字； 字面意义 vt.用字母标明； 写字母于； 加标题 vi.写印刷体字母

Chapter-5-page-3.html
circle              : n. 圆周,社交圈,循环 vt. &vi. 包围,盘旋,环绕
upload              : 上传 上载
duplicate           : n. 副本,复制品 adj. 复制的,二重的 vt. 复制,重复 vi. 重复 [计算机] 复制
social              : adj. 社会的,群居的,社团的
programmer          : n.程序员, 程序规划员 ,节目编排者 =programer（英）
appendix            : n. 附录,阑尾
concerning          : prep. 关于
prentice            : n. 徒弟 adj. 徒弟的，无经验的，不熟练的 vt. 使做学徒
sentinel            : n. 哨兵(标记,传送) vt 放哨(守卫)
screen              : n.屏幕； 银幕； 屏风 vt.筛（煤、矿石等）； 拍摄； 放映（电影）； 庇护
consume             : vt.  消耗，毁灭，吃，喝, 挥霍 vi. 耗尽生命, 被烧毁
automatic           : n. 自动装置, 半自动武器 adj. 自动的,机械的,半自动化的
subscription        : n. 签名,同意,签署物,订阅
taken               : vbl.take的过去分词
perimeter           : n. 周长, 周界, 边缘
history             : n. 历史
afterward           : adv. 后来, 以后
literal             : adj. 逐字的, 字面上的, 文字的 [计算机] 文字的
learned             : adj. 有学问的, 博学的  learn的过去式和过去分词
student             : n. 学生

Chapter-5-page-4.html
tagger              : n.附加物
layout              : n. 布局, 安排, 设计
reload              : v. 再装入
probability         : n. 可能性, 或然率, 机率
providing           : conj. 假如, 以 ... 为条件 动词provide的现在分词
detach              : vt. 使分离, 拆卸 [计算机] 脱离
locale              : n. 现场, 场所
sender              : n. 寄件人, 发报机, 发话机
linked              : adj. 连接的，显示连环遗传的 动词link的过去式和过去分词
bottom              : n. 底部;臀部;船身;水底;服装下面的部分;低洼地;底色;尽头 adj. 底部的 vt. 给...装底,建立基础,到达底部 vi. 到达底部,垫底，降到最低点
carry               : n. 搬运, 射程, 投射, 联运 vt. 负载, 运输, 传送, 传播, 表达, 带有, 容纳, 承担, 怀孕, 延续, 推动, 赢得, 记录 vi. 负载, 被传达, 容许被运输, 被通过
recall              : vt. 召回；回想起，记起；取消  n. 召回；回忆；撤消
listen              : v. 听，倾听 n. 听，倾听
vertex              : n. 顶点, 最高点, 头顶
multiplication      : n. 乘法,增加,乘法表 [计算机] 乘法
popular             : adj. 大众的,流行的,有销路的
powerful            : adj. 强有力的
respectively        : adv. 各自地, 分别地
component           : n. 元件, 组件, 成份 adj. 组成的, 构成的
cursor              : 光标

Chapter-5-page-5.html
speech              : n. 演讲,对话,话语,语言
cover               : n. 封面, 盖子, 表面 v. 覆盖, 涉及, 包含
logical             : adj. 符合逻辑的,逻辑上的,有推理能力的
interval            : n. 间隔,休息时间, (数学)区间, (音乐)音程
distinct            : adj. (from)独特的,不同的,明显的,清楚的
positive            : adj. 肯定的, 积极的, 绝对的 adj. 正面的, 正数的, 阳性的
route               : n. 航线,路线,途径 vt. 按路线发送, 改变路线
